interaction_id,customer_id,service_id,service_name,date,season,rating,urgency_score,days_since_last_service,completed,repeat_booking
I00095,C0052,S03,Termite Treatment,2023-10-20,fall,4,8,674,True,False
I00096,C0147,S10,Emergency Pest Response,2023-08-08,summer,4,9,622,True,False
I00097,C0243,S01,General Pest Control,2023-06-30,summer,3,5,521,True,False
I00098,C0001,S02,Termite Inspection,2024-08-01,summer,4,7,727,True,False
I00099,C0254,S09,Preventive Maintenance Plan,2025-11-29,fall,5,4,142,True,False
I00100,C0064,S04,Bed Bug Treatment,2024-07-07,summer,4,9,450,True,False
I00101,C0308,S09,Preventive Maintenance Plan,2023-08-26,summer,4,6,93,True,False
I00102,C0350,S08,Commercial Pest Management,2024-03-18,spring,5,6,568,True,False
I00103,C0388,S01,General Pest Control,2023-06-01,summer,3,6,575,True,False
I00104,C0022,S07,Ant & Cockroach Treatment,2026-03-31,spring,4,6,300,True,False
I00105,C0355,S09,Preventive Maintenance Plan,2024-11-12,fall,4,6,315,False,False
I00106,C0228,S06,Scorpion Control,2026-03-29,spring,5,6,242,True,False
I00107,C0375,S02,Termite Inspection,2025-03-31,spring,5,7,387,True,False
I00108,C0358,S02,Termite Inspection,2024-02-04,winter,4,7,722,True,False
I00109,C0457,S09,Preventive Maintenance Plan,2024-03-28,spring,4,5,383,True,False
I00110,C0217,S03,Termite Treatment,2025-06-10,summer,5,10,482,True,False
I00111,C0388,S03,Termite Treatment,2023-12-25,winter,4,9,236,True,False
I00112,C0369,S02,Termite Inspection,2025-10-09,fall,5,5,630,True,False
I00113,C0487,S07,Ant & Cockroach Treatment,2025-10-14,fall,4,5,573,True,False
I00114,C0084,S04,Bed Bug Treatment,2026-03-29,spring,4,8,132,True,False
I00115,C0044,S01,General Pest Control,2025-09-07,fall,3,5,593,True,False
I00116,C0447,S03,Termite Treatment,2026-03-21,spring,5,8,234,True,False
I00117,C0158,S04,Bed Bug Treatment,2024-12-17,winter,3,8,121,True,False
I00118,C0333,S09,Preventive Maintenance Plan,2025-10-30,fall,4,5,209,True,False
I00119,C0225,S01,General Pest Control,2023-09-08,fall,4,5,67,True,False
I00120,C0102,S08,Commercial Pest Management,2026-02-05,winter,4,4,326,True,False
I00121,C0293,S03,Termite Treatment,2026-04-19,spring,4,8,139,True,False
I00122,C0094,S07,Ant & Cockroach Treatment,2023-12-12,winter,5,6,167,True,False
I00123,C0416,S01,General Pest Control,2023-11-12,fall,5,5,145,True,False
I00124,C0346,S01,General Pest Control,2023-06-30,summer,5,6,375,True,False
I00125,C0295,S06,Scorpion Control,2024-11-24,fall,5,6,209,True,False
I00126,C0226,S03,Termite Treatment,2025-10-12,fall,3,8,118,True,False
I00127,C0463,S01,General Pest Control,2024-04-01,spring,4,5,173,True,False
I00128,C0277,S01,General Pest Control,2025-03-07,spring,5,5,303,True,False
I00129,C0249,S04,Bed Bug Treatment,2024-03-02,spring,3,7,41,True,False
I00130,C0158,S01,General Pest Control,2025-10-02,fall,3,4,344,True,False
I00131,C0266,S05,Rodent Control,2025-12-20,winter,5,6,348,True,False
I00132,C0123,S03,Termite Treatment,2023-06-28,summer,5,9,254,True,False
I00133,C0334,S06,Scorpion Control,2024-01-11,winter,3,6,650,True,False
I00134,C0082,S03,Termite Treatment,2026-05-03,spring,5,8,710,True,False
I00135,C0031,S06,Scorpion Control,2025-01-09,winter,3,5,640,True,False
I00136,C0454,S08,Commercial Pest Management,2024-03-23,spring,4,4,144,True,False
I00137,C0217,S09,Preventive Maintenance Plan,2024-07-24,summer,4,6,237,True,False
I00138,C0199,S03,Termite Treatment,2024-07-24,summer,4,10,726,True,False
I00139,C0058,S05,Rodent Control,2024-01-19,winter,4,6,552,True,False
I00140,C0142,S05,Rodent Control,2026-02-28,winter,3,6,89,True,False
I00141,C0297,S07,Ant & Cockroach Treatment,2024-04-09,spring,4,5,52,True,False
I00142,C0206,S01,General Pest Control,2024-02-10,winter,4,6,463,True,False
I00143,C0308,S07,Ant & Cockroach Treatment,2024-02-11,winter,5,4,91,True,False
I00144,C0339,S02,Termite Inspection,2026-03-31,spring,4,6,168,False,False
I00145,C0321,S04,Bed Bug Treatment,2024-01-02,winter,5,8,460,True,False
I00146,C0008,S09,Preventive Maintenance Plan,2024-02-04,winter,4,5,414,True,False
I00147,C0010,S04,Bed Bug Treatment,2025-09-27,fall,4,7,582,True,False
I00148,C0016,S05,Rodent Control,2023-08-05,summer,3,5,571,True,False
I00149,C0216,S02,Termite Inspection,2025-07-15,summer,5,7,33,True,False
I00150,C0013,S02,Termite Inspection,2026-03-09,spring,4,5,418,True,False
I00151,C0227,S02,Termite Inspection,2024-01-05,winter,5,4,312,True,False
I00152,C0500,S07,Ant & Cockroach Treatment,2023-05-27,spring,4,7,459,True,False
I00153,C0381,S09,Preventive Maintenance Plan,2024-03-01,spring,4,4,46,True,False
I00154,C0281,S03,Termite Treatment,2025-01-19,winter,4,7,79,True,False
I00155,C0127,S02,Termite Inspection,2023-06-13,summer,4,8,269,True,False
I00156,C0337,S05,Rodent Control,2024-05-29,spring,5,4,326,True,True
I00157,C0185,S07,Ant & Cockroach Treatment,2025-10-23,fall,3,6,356,True,False
I00158,C0041,S03,Termite Treatment,2026-02-23,winter,3,9,176,True,False
I00159,C0334,S05,Rodent Control,2025-10-27,fall,3,4,311,True,False
I00160,C0294,S01,General Pest Control,2025-07-20,summer,4,6,725,True,False
I00161,C0054,S01,General Pest Control,2025-03-05,spring,3,7,382,True,False
I00162,C0093,S03,Termite Treatment,2024-08-30,summer,3,9,182,True,False
I00163,C0020,S08,Commercial Pest Management,2025-11-21,fall,4,5,514,True,False
I00164,C0252,S06,Scorpion Control,2024-02-10,winter,4,6,89,True,False
I00165,C0429,S02,Termite Inspection,2025-03-06,spring,4,5,572,True,True
I00166,C0488,S02,Termite Inspection,2024-03-23,spring,4,6,490,True,False
I00167,C0354,S06,Scorpion Control,2023-07-06,summer,4,6,225,True,False
I00168,C0306,S08,Commercial Pest Management,2023-09-08,fall,5,6,222,True,False
I00169,C0186,S06,Scorpion Control,2024-07-04,summer,5,7,520,False,False
I00170,C0373,S01,General Pest Control,2025-12-22,winter,4,6,224,True,False
I00171,C0032,S10,Emergency Pest Response,2025-04-16,spring,4,7,520,True,False
I00172,C0165,S02,Termite Inspection,2023-06-20,summer,3,8,359,True,False
I00173,C0070,S05,Rodent Control,2026-03-11,spring,4,6,397,True,False
I00174,C0211,S01,General Pest Control,2023-12-13,winter,5,6,510,True,False
I00175,C0104,S02,Termite Inspection,2025-06-27,summer,4,7,453,True,False
I00176,C0179,S02,Termite Inspection,2025-12-01,winter,4,7,628,True,False
I00177,C0428,S02,Termite Inspection,2024-09-12,fall,4,6,230,True,False
I00178,C0427,S07,Ant & Cockroach Treatment,2023-09-26,fall,5,6,375,True,False
I00179,C0152,S03,Termite Treatment,2024-08-23,summer,4,10,687,True,False
I00180,C0218,S01,General Pest Control,2025-03-04,spring,4,6,589,True,False
I00181,C0126,S08,Commercial Pest Management,2025-02-07,winter,3,5,687,True,False
I00182,C0246,S06,Scorpion Control,2023-05-11,spring,4,4,79,True,False
I00183,C0308,S08,Commercial Pest Management,2025-08-14,summer,4,4,266,True,False
I00184,C0057,S02,Termite Inspection,2024-08-11,summer,4,9,662,True,False
I00185,C0102,S07,Ant & Cockroach Treatment,2024-08-23,summer,4,7,524,True,True
I00186,C0023,S01,General Pest Control,2025-04-01,spring,4,7,572,True,False
I00187,C0438,S10,Emergency Pest Response,2023-08-15,summer,5,8,47,True,False
I00188,C0355,S08,Commercial Pest Management,2024-09-22,fall,3,4,139,True,False
I00189,C0229,S02,Termite Inspection,2023-06-16,summer,4,10,664,True,False
I00190,C0249,S01,General Pest Control,2024-06-06,summer,5,6,445,True,False
I00191,C0469,S10,Emergency Pest Response,2023-05-05,spring,3,7,261,True,False
I00192,C0350,S08,Commercial Pest Management,2025-06-08,summer,3,4,62,True,True
I00193,C0301,S05,Rodent Control,2025-11-06,fall,3,5,517,True,False
I00194,C0337,S08,Commercial Pest Management,2024-05-29,spring,3,6,690,True,False
I00195,C0071,S09,Preventive Maintenance Plan,2024-03-07,spring,5,6,127,True,False
I00196,C0319,S08,Commercial Pest Management,2024-06-16,summer,4,6,610,True,False
I00197,C0322,S09,Preventive Maintenance Plan,2025-12-08,winter,5,6,730,True,False
I00198,C0239,S09,Preventive Maintenance Plan,2024-10-07,fall,3,4,352,False,False
I00199,C0081,S03,Termite Treatment,2025-08-15,summer,4,9,437,True,False
I00200,C0260,S09,Preventive Maintenance Plan,2025-08-23,summer,5,7,723,True,False
I00201,C0006,S07,Ant & Cockroach Treatment,2026-01-13,winter,4,6,173,False,False
I00202,C0251,S01,General Pest Control,2024-10-16,fall,3,5,477,True,False
I00203,C0031,S02,Termite Inspection,2025-06-21,summer,3,9,658,True,False
I00204,C0019,S02,Termite Inspection,2025-06-20,summer,5,8,491,True,False
I00205,C0060,S03,Termite Treatment,2024-07-09,summer,5,10,414,True,False
I00206,C0241,S07,Ant & Cockroach Treatment,2025-06-30,summer,5,4,332,True,False
I00207,C0483,S01,General Pest Control,2026-01-04,winter,4,5,187,True,False
I00208,C0435,S02,Termite Inspection,2026-01-17,winter,3,4,139,True,False
I00209,C0016,S03,Termite Treatment,2024-10-16,fall,4,8,398,True,False
I00210,C0487,S05,Rodent Control,2025-07-24,summer,4,6,554,True,False
I00211,C0063,S01,General Pest Control,2023-08-29,summer,3,5,597,True,False
I00212,C0272,S01,General Pest Control,2023-08-13,summer,3,6,453,True,False
I00213,C0237,S08,Commercial Pest Management,2024-07-26,summer,4,5,602,True,False
I00214,C0196,S02,Termite Inspection,2024-07-11,summer,4,7,338,True,False
I00215,C0304,S01,General Pest Control,2023-05-19,spring,3,6,475,True,False
I00216,C0467,S02,Termite Inspection,2024-05-11,spring,5,7,282,True,False
I00217,C0497,S06,Scorpion Control,2024-04-18,spring,5,5,230,False,False
I00218,C0357,S03,Termite Treatment,2026-01-08,winter,5,8,665,True,False
I00219,C0183,S02,Termite Inspection,2026-04-09,spring,5,7,372,False,False
I00220,C0463,S01,General Pest Control,2025-11-29,fall,3,6,358,False,True
I00221,C0433,S02,Termite Inspection,2026-03-13,spring,5,4,351,True,False
I00222,C0363,S06,Scorpion Control,2024-04-16,spring,4,7,532,True,False
I00223,C0151,S02,Termite Inspection,2023-12-22,winter,3,5,317,True,False
I00224,C0244,S10,Emergency Pest Response,2025-01-12,winter,5,8,214,True,False
I00225,C0137,S01,General Pest Control,2024-09-15,fall,4,7,502,True,False
I00226,C0274,S01,General Pest Control,2025-10-31,fall,5,7,448,True,False
I00227,C0360,S08,Commercial Pest Management,2025-11-02,fall,3,5,277,True,False
I00228,C0151,S01,General Pest Control,2025-07-27,summer,3,6,642,True,True
I00229,C0128,S05,Rodent Control,2024-12-25,winter,5,7,458,True,False
I00230,C0003,S08,Commercial Pest Management,2024-06-24,summer,5,7,638,True,False
I00231,C0290,S01,General Pest Control,2025-07-08,summer,4,6,284,True,False
I00232,C0107,S03,Termite Treatment,2023-06-02,summer,4,10,690,True,False
I00233,C0082,S10,Emergency Pest Response,2023-08-24,summer,4,8,369,True,False
I00234,C0211,S06,Scorpion Control,2023-10-24,fall,4,7,601,True,False
I00235,C0162,S01,General Pest Control,2025-12-29,winter,3,6,413,True,False
I00236,C0184,S02,Termite Inspection,2024-09-28,fall,4,6,55,True,True
I00237,C0211,S03,Termite Treatment,2025-05-17,spring,5,6,117,True,False
I00238,C0018,S02,Termite Inspection,2024-04-02,spring,3,6,241,True,False
I00239,C0158,S03,Termite Treatment,2025-11-15,fall,4,10,478,True,False
I00240,C0435,S07,Ant & Cockroach Treatment,2023-11-28,fall,3,4,147,True,False
I00241,C0119,S04,Bed Bug Treatment,2025-02-26,winter,5,7,723,True,False
I00242,C0170,S04,Bed Bug Treatment,2024-03-23,spring,4,9,368,True,False
I00243,C0076,S03,Termite Treatment,2025-08-13,summer,5,10,444,True,False
I00244,C0153,S01,General Pest Control,2024-03-09,spring,5,5,658,True,False
I00245,C0463,S03,Termite Treatment,2025-06-10,summer,4,10,34,True,False
I00246,C0162,S09,Preventive Maintenance Plan,2024-02-25,winter,5,5,621,True,False
I00247,C0222,S07,Ant & Cockroach Treatment,2026-01-18,winter,4,6,404,True,False
I00248,C0106,S04,Bed Bug Treatment,2024-11-28,fall,4,8,684,True,False
I00249,C0123,S04,Bed Bug Treatment,2023-08-12,summer,3,7,631,True,False
I00250,C0100,S07,Ant & Cockroach Treatment,2025-08-14,summer,5,6,334,True,False
I00251,C0371,S08,Commercial Pest Management,2024-09-26,fall,4,4,350,True,False
I00252,C0003,S02,Termite Inspection,2024-04-01,spring,4,7,427,True,False
I00253,C0089,S04,Bed Bug Treatment,2024-09-26,fall,3,7,463,True,False
I00254,C0147,S08,Commercial Pest Management,2025-03-21,spring,4,6,207,True,False
I00255,C0385,S03,Termite Treatment,2025-02-28,winter,5,8,221,True,False
I00256,C0177,S09,Preventive Maintenance Plan,2026-02-15,winter,3,5,526,True,False
I00257,C0073,S02,Termite Inspection,2025-09-01,fall,4,8,605,True,False
I00258,C0159,S08,Commercial Pest Management,2024-01-11,winter,3,6,484,True,False
I00259,C0368,S06,Scorpion Control,2025-07-15,summer,5,7,255,True,False
I00260,C0305,S08,Commercial Pest Management,2023-07-08,summer,4,7,609,True,False
I00261,C0164,S03,Termite Treatment,2024-10-13,fall,4,7,553,True,False
I00262,C0347,S10,Emergency Pest Response,2023-08-17,summer,4,7,585,True,False
I00263,C0124,S05,Rodent Control,2025-10-30,fall,5,5,253,True,False
I00264,C0200,S02,Termite Inspection,2024-03-18,spring,5,6,63,True,False
I00265,C0465,S09,Preventive Maintenance Plan,2025-12-10,winter,4,5,119,True,False
I00266,C0091,S02,Termite Inspection,2025-03-08,spring,4,8,632,True,False
I00267,C0281,S06,Scorpion Control,2023-08-13,summer,4,8,677,True,False
I00268,C0093,S01,General Pest Control,2024-05-28,spring,4,6,90,True,False
I00269,C0303,S02,Termite Inspection,2025-03-24,spring,4,5,581,True,False
I00270,C0018,S02,Termite Inspection,2025-03-18,spring,5,7,556,True,True
I00271,C0130,S01,General Pest Control,2024-11-01,fall,5,5,451,True,False
I00272,C0049,S09,Preventive Maintenance Plan,2024-08-11,summer,4,4,285,True,False
I00273,C0126,S07,Ant & Cockroach Treatment,2023-12-30,winter,3,6,722,True,False
I00274,C0365,S02,Termite Inspection,2023-10-11,fall,4,6,492,True,False
I00275,C0035,S09,Preventive Maintenance Plan,2024-02-24,winter,3,5,125,False,False
I00276,C0325,S02,Termite Inspection,2023-07-10,summer,4,9,529,True,False
I00277,C0198,S08,Commercial Pest Management,2024-05-22,spring,5,6,125,True,True
I00278,C0416,S07,Ant & Cockroach Treatment,2024-03-27,spring,4,6,577,True,False
I00279,C0325,S02,Termite Inspection,2026-01-01,winter,4,6,246,True,True
I00280,C0167,S07,Ant & Cockroach Treatment,2023-09-10,fall,5,6,609,True,False
I00281,C0001,S09,Preventive Maintenance Plan,2024-06-06,summer,5,4,79,True,False
I00282,C0085,S01,General Pest Control,2025-09-23,fall,5,5,191,True,False
I00283,C0239,S10,Emergency Pest Response,2024-04-08,spring,5,7,468,True,False
I00284,C0166,S02,Termite Inspection,2023-07-10,summer,4,6,310,True,False
I00285,C0242,S01,General Pest Control,2024-07-08,summer,4,7,410,True,False
I00286,C0401,S02,Termite Inspection,2024-10-26,fall,4,6,269,True,False
I00287,C0016,S08,Commercial Pest Management,2026-02-08,winter,4,4,31,True,False
I00288,C0363,S05,Rodent Control,2024-03-28,spring,4,4,39,True,False
I00289,C0317,S07,Ant & Cockroach Treatment,2024-11-17,fall,4,7,462,True,False
I00290,C0245,S06,Scorpion Control,2024-06-17,summer,4,6,134,True,False
I00291,C0154,S08,Commercial Pest Management,2026-01-08,winter,4,5,170,True,False
I00292,C0156,S10,Emergency Pest Response,2023-07-05,summer,3,6,176,True,False
I00293,C0429,S01,General Pest Control,2025-02-20,winter,3,5,695,True,False
I00294,C0482,S01,General Pest Control,2024-05-10,spring,5,7,451,True,False
I00295,C0257,S08,Commercial Pest Management,2025-09-20,fall,4,4,118,True,False
I00296,C0311,S02,Termite Inspection,2025-02-18,winter,4,6,469,True,False
I00297,C0480,S02,Termite Inspection,2025-08-27,summer,4,8,690,True,True
I00298,C0049,S02,Termite Inspection,2023-06-02,summer,5,9,57,True,False
I00299,C0192,S01,General Pest Control,2025-04-23,spring,4,7,651,True,False
I00300,C0193,S08,Commercial Pest Management,2025-06-09,summer,5,5,275,True,False
I00301,C0157,S01,General Pest Control,2025-04-01,spring,5,7,683,True,False
I00302,C0197,S02,Termite Inspection,2023-07-07,summer,5,6,354,True,False
I00303,C0103,S07,Ant & Cockroach Treatment,2025-08-20,summer,4,6,460,True,False
I00304,C0115,S10,Emergency Pest Response,2025-02-03,winter,4,6,104,True,False
I00305,C0363,S01,General Pest Control,2024-04-28,spring,5,4,250,True,False
I00306,C0464,S02,Termite Inspection,2025-01-30,winter,3,7,543,True,False
I00307,C0056,S02,Termite Inspection,2025-11-20,fall,4,8,685,True,False
I00308,C0423,S01,General Pest Control,2023-06-06,summer,4,4,238,True,False
I00309,C0180,S02,Termite Inspection,2026-01-21,winter,4,7,679,True,False
I00310,C0306,S04,Bed Bug Treatment,2025-03-22,spring,4,6,274,True,False
I00311,C0312,S09,Preventive Maintenance Plan,2023-09-12,fall,4,5,148,True,False
I00312,C0092,S07,Ant & Cockroach Treatment,2024-03-25,spring,4,4,209,True,False
I00313,C0372,S01,General Pest Control,2023-05-31,spring,3,4,41,True,False
I00314,C0268,S07,Ant & Cockroach Treatment,2025-11-25,fall,4,4,295,True,False
I00315,C0046,S06,Scorpion Control,2025-05-17,spring,5,6,305,True,False
I00316,C0162,S09,Preventive Maintenance Plan,2025-03-24,spring,3,6,308,True,True
I00317,C0500,S05,Rodent Control,2026-04-24,spring,5,7,620,True,False
I00318,C0358,S05,Rodent Control,2023-08-20,summer,5,5,610,True,False
I00319,C0078,S02,Termite Inspection,2024-08-17,summer,4,9,135,True,False
I00320,C0298,S01,General Pest Control,2024-10-27,fall,4,4,42,True,False
I00321,C0277,S02,Termite Inspection,2024-11-25,fall,5,5,183,True,False
I00322,C0149,S09,Preventive Maintenance Plan,2023-06-01,summer,3,6,701,True,False
I00323,C0181,S01,General Pest Control,2024-09-19,fall,5,5,357,True,False
I00324,C0141,S05,Rodent Control,2025-09-19,fall,3,4,83,True,False
I00325,C0434,S05,Rodent Control,2025-06-07,summer,5,5,77,True,False
I00326,C0443,S08,Commercial Pest Management,2024-12-21,winter,4,4,365,True,False
I00327,C0193,S01,General Pest Control,2024-07-10,summer,3,5,235,True,False
I00328,C0321,S03,Termite Treatment,2023-11-09,fall,4,9,635,False,False
I00329,C0443,S08,Commercial Pest Management,2024-05-23,spring,5,5,589,True,True
I00330,C0024,S07,Ant & Cockroach Treatment,2023-10-08,fall,5,7,681,True,False
I00331,C0073,S09,Preventive Maintenance Plan,2024-02-11,winter,3,6,31,True,False
I00332,C0274,S02,Termite Inspection,2026-03-05,spring,5,5,273,True,False
I00333,C0069,S01,General Pest Control,2023-09-09,fall,4,6,175,True,False
I00334,C0005,S07,Ant & Cockroach Treatment,2025-11-11,fall,4,7,452,True,False
I00335,C0348,S05,Rodent Control,2024-01-05,winter,4,6,116,True,False
I00336,C0383,S01,General Pest Control,2025-04-30,spring,4,5,611,True,False
I00337,C0244,S09,Preventive Maintenance Plan,2024-09-07,fall,4,5,272,True,False
I00338,C0320,S08,Commercial Pest Management,2024-01-09,winter,5,5,364,True,True
I00339,C0276,S02,Termite Inspection,2025-06-17,summer,4,6,237,True,False
I00340,C0102,S02,Termite Inspection,2023-11-06,fall,3,7,507,True,False
I00341,C0490,S07,Ant & Cockroach Treatment,2023-07-02,summer,4,5,242,True,False
I00342,C0184,S02,Termite Inspection,2025-02-15,winter,5,7,341,True,True
I00343,C0434,S01,General Pest Control,2024-06-27,summer,5,4,365,True,False
I00344,C0413,S03,Termite Treatment,2025-11-06,fall,4,8,723,True,False
I00345,C0092,S10,Emergency Pest Response,2025-12-21,winter,5,7,61,True,False
